2026-04-24 23:29:30 | INFO     | main | Found 1 audio file(s) in C:\AudioIntel\input-voice\read.mp3
2026-04-24 23:29:30 | INFO     | main | Initialising engines...
2026-04-24 23:29:40 | INFO     | main | Transcribing read.mp3...
2026-04-24 23:30:55 | INFO     | main | Summarising read.mp3...
2026-04-24 23:55:17 | INFO     | main | Found 1 audio file(s) in C:\AudioIntel\input-voice\read.mp3
2026-04-24 23:55:17 | INFO     | main | Initialising engines...
2026-04-24 23:55:33 | INFO     | main | Transcribing read.mp3...
2026-04-24 23:57:22 | INFO     | main | Summarising read.mp3...
2026-04-24 23:57:53 | INFO     | main | Summary saved: C:\AudioIntel\output-summary\read_20260424_235533_summary.txt
2026-04-25 00:00:29 | INFO     | main | Found 1 audio file(s) in C:\AudioIntel\input-voice\read.mp3
2026-04-25 00:00:29 | INFO     | main | Initialising engines...
2026-04-25 00:00:29 | INFO     | main | Found 1 audio file(s) in C:\AudioIntel\input-voice\read.mp3
2026-04-25 00:00:29 | INFO     | main | Initialising engines...
2026-04-25 00:00:57 | INFO     | main | Transcribing read.mp3...
2026-04-25 00:05:52 | INFO     | main | Summarising read.mp3...
2026-04-25 00:06:46 | INFO     | main | Summary saved: C:\AudioIntel\output-summary\read_20260425_000057_summary.txt
2026-04-25 11:30:25 | INFO     | main | --------------------------------------------------------
2026-04-25 11:30:25 | INFO     | main | Found 1 audio file(s) in C:\AudioIntel\input-voice\read.mp3
2026-04-25 11:30:25 | INFO     | main | Initialising engines...
2026-04-25 11:30:33 | INFO     | main | Transcribing read.mp3...
2026-04-25 11:31:31 | INFO     | main | Transcription saved: C:\AudioIntel\output-transcription\read_20260425_113033_transcription.txt
2026-04-25 11:31:31 | INFO     | main | Summarising read.mp3...
2026-04-25 11:55:46 | INFO     | main | --------------------------------------------------------
2026-04-25 11:55:46 | INFO     | main | Found 1 audio file(s) in C:\AudioIntel\input-voice\read.mp3
2026-04-25 11:55:46 | INFO     | main | Initialising engines...
2026-04-25 11:55:54 | INFO     | main | Transcribing read.mp3...
2026-04-25 11:56:51 | INFO     | main | Transcription saved: C:\AudioIntel\output-transcription\read_20260425_115554_transcription.txt
2026-04-25 11:56:52 | INFO     | main | Summarising read.mp3...
2026-04-25 11:57:13 | INFO     | main | Summary saved: C:\AudioIntel\output-summary\read_20260425_115554_summary.txt
2026-04-25 11:59:48 | INFO     | main | --------------------------------------------------------
2026-04-25 11:59:48 | INFO     | main | Found 1 audio file(s) in C:\AudioIntel\input-voice\read.mp3
2026-04-25 11:59:48 | INFO     | main | Initialising engines...
2026-04-25 11:59:59 | INFO     | main | Transcribing read.mp3...
2026-04-25 12:02:13 | INFO     | main | Transcription saved: C:\AudioIntel\output-transcription\read_20260425_115959_transcription.txt
2026-04-25 12:02:13 | INFO     | main | Translating read.mp3 to English â†’ Malay...
2026-04-25 12:03:17 | INFO     | main | Translation saved: C:\AudioIntel\output-translated\read_20260425_115959_translated.txt
2026-04-25 12:03:17 | INFO     | main | Summarising read.mp3...
2026-04-25 12:03:40 | INFO     | main | Summary saved: C:\AudioIntel\output-summary\read_20260425_115959_summary.txt
2026-04-25 12:33:57 | INFO     | main | --------------------------------------------------------
2026-04-25 12:33:57 | INFO     | main | Found 1 audio file(s) in C:\AudioIntel\input-voice\read.mp3
2026-04-25 12:33:57 | INFO     | main | Initialising engines...
2026-04-25 12:34:06 | INFO     | main | Transcribing read.mp3...
2026-04-25 12:35:03 | INFO     | main | Transcription saved: C:\AudioIntel\output-transcription\read_20260425_123406_transcription.txt
2026-04-25 12:35:04 | INFO     | main | Summarising read.mp3...
2026-04-25 12:35:22 | INFO     | main | Summary saved: C:\AudioIntel\output-summary\read_20260425_123406_summary.txt
2026-04-25 12:42:55 | INFO     | main | --------------------------------------------------------
2026-04-25 12:42:55 | INFO     | main | Found 1 audio file(s) in C:\AudioIntel\input-voice\read.mp3
